Nome,Twitter,Partito,Tipo
FASANO Vincenzo,\N,Forza Italia,Camera
FASCINA Marta Antonia,\N,Forza Italia,Camera
FATUZZO Carlo,carlo_fatuzzo,Forza Italia,Camera
FERRAIOLI Marzia,marferraioli,Forza Italia,Camera
FIORINI Benedetta,bennyfiorini,Forza Italia,Camera
FITZGERALD NISSOLI Fucsia,fucsiaUSA,Forza Italia,Camera
FONTANA Gregorio,Greg_Fontana,Forza Italia,Camera
GAGLIARDI Manuela,\N,Forza Italia,Camera
GELMINI Mariastella,msgelmini,Forza Italia,Camera
GERMANA' Antonino,\N,Forza Italia,Camera
GIACOMETTO Carlo,\N,Forza Italia,Camera
GIACOMONI Sestino,\N,Forza Italia,Camera
LABRIOLA Vincenza,Vincenza_Lab,Forza Italia,Camera
MANDELLI Andrea,mandelli_andrea,Forza Italia,Camera
MARIN Marco,Marin63Marco,Forza Italia,Camera
MARROCCO Patrizia,MarroccoPatty,Forza Italia,Camera
MARTINO Antonio,antoniomartinop,Forza Italia,Camera
MAZZETTI Erica,\N,Forza Italia,Camera
MILANATO Lorena,LorenaMilanato,Forza Italia,Camera
MINARDO Antonino,NinoMinardo,Forza Italia,Camera
MUGNAI Stefano,stefano_mugnai,Forza Italia,Camera
MULE' Giorgio,giorgiomule,Forza Italia,Camera
MUSELLA Graziano,\N,Forza Italia,Camera
NAPOLI Osvaldo,osvaldo_napoli_,Forza Italia,Camera
NEVI Raffaele,raffaelenevi,Forza Italia,Camera
NOVELLI Roberto,novelliroberto,Forza Italia,Camera
OCCHIUTO Roberto,robertoocchiuto,Forza Italia,Camera
ORSINI Andrea,Andrors,Forza Italia,Camera
PALMIERI Antonio,antoniopalmieri,Forza Italia,Camera
PEDRAZZINI Claudio,Pedrazzini_,Cambiamo!,Camera
PELLA Roberto,roberto_pella,Forza Italia,Camera
PENTANGELO Antonio,1374146521,Forza Italia,Camera
PEREGO DI CREMNAGO Matteo,\N,Forza Italia,Camera
PETTARIN Guido Germano,GuidoPettarin,Forza Italia,Camera
PITTALIS Pietro,PittalisPietro,Forza Italia,Camera
POLIDORI Catia,CatiaPolidori,Forza Italia,Camera
POLVERINI Renata,renatapolverini,Forza Italia,Camera
PORCHIETTO Claudia,ClaudiaPorchiet,Forza Italia,Camera
PRESTIGIACOMO Stefania,stefprest,Forza Italia,Camera
RAVETTO Laura,lauraravetto,Forza Italia,Camera
RIPANI Elisabetta,BettaRipani,Forza Italia,Camera
ROSSELLO Cristina,AvvRossello,Forza Italia,Camera
ROSSO Roberto,\N,Forza Italia,Camera
ROTONDI Gianfranco,grotondi,Forza Italia,Camera
RUFFINO Daniela,DanielaRuffino2,Cambiamo!,Camera
RUGGIERI Andrea,rugge75,Forza Italia,Camera
RUSSO Paolo,_PaoloRusso_,Forza Italia,Camera
SACCANI JOTTI Gloria M.R.,\N,Forza Italia,Camera
SANTELLI Jole,jole_santelli,Forza Italia,Camera
SARRO Carlo,8.52980514436854E+017,Forza Italia,Camera
SAVINO Elvira,elvirasavino,Forza Italia,Camera
SAVINO Sandra,Sandra_Savino,Forza Italia,Camera
SCOMA Francesco,francesco_scoma,Italia Viva,Camera
SGARBI Vittorio,VittorioSgarbi,Noi con l’Italia,Camera
SIBILIA Cosimo,8.69203195301687E+017,Forza Italia,Camera
SILLI Giorgio,GiorgioSilli,Cambiamo!,Camera
SIRACUSANO Matilde,mati_siracusano,Forza Italia,Camera
SISTO Francesco Paolo,\N,Forza Italia,Camera
SORTE Alessandro,sortealex,Cambiamo!,Camera
SOZZANI Diego,SozzaniDiego,Forza Italia,Camera
SPENA Maria,maria_spena,Forza Italia,Camera
SQUERI Luca,LucaSqueri,Forza Italia,Camera
TARTAGLIONE Annaelsa,AnnaelsaT,Forza Italia,Camera
TRIPODI Maria,tripodimaria,Forza Italia,Camera
VALENTINI Valentino,\N,Forza Italia,Camera
VERSACE Giuseppina,GiusyVersace,Forza Italia,Camera
VIETINA Simona,\N,Forza Italia,Camera
VITO Elio,elio_vito,Forza Italia,Camera
ZANELLA Federica,federicazanella,Forza Italia,Camera
ZANETTIN Pierantonio,PierantonioZ,Forza Italia,Camera
ZANGRILLO Paolo,\N,Forza Italia,Camera
ANNIBALI Lucia,LAnnibali,Italia Viva,Camera
ANZALDI Michele,Michele_Anzaldi,Italia Viva,Camera
ASCANI Anna,AnnaAscani,PD,Camera
BAZOLI Alfredo,alfredobazoli,PD,Camera
BENAMATI Gianluca,GBenamati,PD,Camera
BERLINGHIERI Marina,M_Berlinghieri,PD,Camera
BOCCIA Francesco,F_Boccia,PD,Camera
BONOMO Francesca,FraBonomo,PD,Camera
BORDO Michele,bordomichele,PD,Camera
BORGHI Enrico,EnricoBorghi1,PD,Camera
BOSCHI Maria Elena,meb,Italia Viva,Camera
BRAGA Chiara,bragachiara,PD,Camera
BRUNO BOSSIO Vincenza,enzabrunobossio,PD,Camera
CAMPANA Micaela,micaela_campana,PD,Camera
CANTINI Laura,CantiniL,PD,Camera
CANTONE Carla,carla_cantone,PD,Camera
CARDINALE Daniela,\N,CD,Camera
CARE' Nicola,9.58522192857252E+017,PD,Camera
CARNEVALI Elena,ElenaCarnevali,PD,Camera
CECCANTI Stefano,StefanoCeccanti,PD,Camera
CENNI Susanna,susannacenni,PD,Camera
CIAMPI Lucia,\N,PD,Camera
COLANINNO Matteo,\N,Italia Viva,Camera
CRITELLI Francesco,\N,PD,Camera
D'ALESSANDRO Camillo,DalessandroCam,Italia Viva,Camera
DAL MORO Gian Pietro,\N,PD,Camera
DE FILIPPO Vito,Vito_DeFilippo,PD,Camera
DEL BARBA Mauro,emmedibi,Italia Viva,Camera
DEL BASSO DE CARO Umberto,\N,PD,Camera
DELRIO Graziano,graziano_delrio,PD,Camera
DE LUCA Piero,Piero_De_Luca,PD,Camera
DE MARIA Andrea,andreademaria_,PD,Camera
DE MENECH Roger,RogerDeMenech,PD,Camera
